"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"179","(0.0379,0.0659]",0.3,0.0667395111777345,0.652452850059997,3,0.0519429092914479,"3","log-linear","cimrsbinary","equal"
"180","(0.0659,1]",0.4,0.121552258119827,0.737621923393055,4,0.532973937266643,"3","log-linear","cimrsbinary","equal"
"181","[0,0.148]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0741281847272225,"4","log-linear","cimrsbinary","equal"
"182","(0.148,0.156]",0.2,0.0252107263268334,0.556095462307641,2,0.152343273391362,"4","log-linear","cimrsbinary","equal"
"183","(0.156,0.169]",0.4,0.121552258119827,0.737621923393055,4,0.162653173929282,"4","log-linear","cimrsbinary","equal"
"184","(0.169,1]",0.4,0.121552258119827,0.737621923393055,4,0.584438085265142,"4","log-linear","cimrsbinary","equal"
"185","[0,0.0224]",0,0,0.284914152918154,0,0.011175499794537,"5","log-linear","cimrsbinary","equal"
"186","(0.0224,0.0478]",0,0,0.308497107818761,0,0.0350822872053013,"5","log-linear","cimrsbinary","equal"
"187","(0.0478,0.132]",0.2,0.0252107263268334,0.556095462307641,2,0.0896940194844414,"5","log-linear","cimrsbinary","equal"
"188","(0.132,1]",0.1,0.00252857854446179,0.445016117028195,1,0.565787232073677,"5","log-linear","cimrsbinary","equal"
"189","[0,0.0406]",0,0,0.284914152918154,0,0.0202940830668082,"6","log-linear","cimrsbinary","equal"
"190","(0.0406,0.111]",0.1,0.00252857854446179,0.445016117028195,1,0.0755821438078608,"6","log-linear","cimrsbinary","equal"
"191","(0.111,0.226]",0.2,0.0252107263268334,0.556095462307641,2,0.168154442124773,"6","log-linear","cimrsbinary","equal"
"192","(0.226,1]",0.3,0.0667395111777345,0.652452850059997,3,0.612866381383721,"6","log-linear","cimrsbinary","equal"
"193","[0,0.00786]",0,0,0.284914152918154,0,0.00393157984540216,"1","trafo","cimrsbinary","equal"
"194","(0.00786,0.0395]",0.1,0.00252857854446179,0.445016117028195,1,0.0236862419655671,"1","trafo","cimrsbinary","equal"
"195","(0.0395,0.0872]",0.1,0.00252857854446179,0.445016117028195,1,0.0633579602455078,"1","trafo","cimrsbinary","equal"
"196","(0.0872,1]",0.2,0.0252107263268334,0.556095462307641,2,0.543603298125343,"1","trafo","cimrsbinary","equal"
"197","[0,0.0861]",0,0,0.284914152918154,0,0.0430449374986032,"2","trafo","cimrsbinary","equal"
"198","(0.0861,0.135]",0,0,0.308497107818761,0,0.110794507135997,"2","trafo","cimrsbinary","equal"
"199","(0.135,0.249]",0.2,0.0252107263268334,0.556095462307641,2,0.192041763768017,"2","trafo","cimrsbinary","equal"
"200","(0.249,1]",0.3,0.0667395111777345,0.652452850059997,3,0.624292194130623,"2","trafo","cimrsbinary","equal"
"201","[0,0.00226]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.00113149242738975,"3","trafo","cimrsbinary","equal"
"202","(0.00226,0.0127]",0.1,0.00252857854446179,0.445016117028195,1,0.00749556752147784,"3","trafo","cimrsbinary","equal"
"203","(0.0127,0.0314]",0.4,0.121552258119827,0.737621923393055,4,0.0220644328828177,"3","trafo","cimrsbinary","equal"
"204","(0.0314,1]",0.3,0.0667395111777345,0.652452850059997,3,0.51570035778873,"3","trafo","cimrsbinary","equal"
"205","[0,0.148]",0.0909090909090909,0.00229897221381427,0.412779916988383,1,0.0739464866690694,"4","trafo","cimrsbinary","equal"
"206","(0.148,0.156]",0.2,0.0252107263268334,0.556095462307641,2,0.15198411179908,"4","trafo","cimrsbinary","equal"
"207","(0.156,0.169]",0.4,0.121552258119827,0.737621923393055,4,0.162409576094348,"4","trafo","cimrsbinary","equal"
"208","(0.169,1]",0.4,0.121552258119827,0.737621923393055,4,0.584371950964338,"4","trafo","cimrsbinary","equal"
"209","[0,0.00779]",0,0,0.284914152918154,0,0.00389408921351792,"5","trafo","cimrsbinary","equal"
"210","(0.00779,0.0259]",0,0,0.308497107818761,0,0.0168340957411768,"5","trafo","cimrsbinary","equal"
