"","bin","prop","lwr","upr","cases","midpoint","spl","method","mod","weights"
"107","(0.52,0.782]",0.2,0.0855287712357591,0.499624927369607,2,0.217272503169941,"3","log-linear","cils","equal"
"108","(0.782,1]",0.466666666666667,0.182613803991967,0.770934197492971,4.66666666666667,0.644213083420615,"3","log-linear","cils","equal"
"109","[0,0.376]",0.136363636363636,0.0201263841480282,0.459332478321706,1.5,0.0449450410597269,"4","log-linear","cils","equal"
"110","(0.376,0.482]",0.15,0.0257247866800077,0.489543807434007,1.5,0.104629412498765,"4","log-linear","cils","equal"
"111","(0.482,0.723]",0.35,0.121330350795648,0.671046911314052,3.5,0.178922159348745,"4","log-linear","cils","equal"
"112","(0.723,1]",0.433333333333333,0.16149749429464,0.745739175043896,4.33333333333333,0.619237787909706,"4","log-linear","cils","equal"
"113","[0,0.392]",0.106060606060606,0.0282468629986675,0.40691574270556,1.16666666666667,0.0473312195604948,"5","log-linear","cils","equal"
"114","(0.392,0.541]",0.116666666666667,0.0313819615495936,0.437343867454683,1.16666666666667,0.117930329024142,"5","log-linear","cils","equal"
"115","(0.541,0.687]",0.133333333333333,0.0479314671556297,0.444755272577143,1.33333333333333,0.182782796117999,"5","log-linear","cils","equal"
"116","(0.687,1]",0.35,0.128254457597358,0.663773529900359,3.5,0.612183686654352,"5","log-linear","cils","equal"
"117","[0,0.443]",0.0454545454545454,0.0100362890288178,0.339052220693866,0.5,0.0596980803956526,"6","log-linear","cils","equal"
"118","(0.443,0.545]",0.1,0.0157464693415049,0.429842625475353,1,0.139131604332382,"6","log-linear","cils","equal"
"119","(0.545,0.777]",0.183333333333333,0.0299265744011465,0.530810199848821,1.83333333333333,0.217961508079352,"6","log-linear","cils","equal"
"120","(0.777,1]",0.366666666666667,0.149517160356888,0.666137502308891,3.66666666666667,0.638527984142623,"6","log-linear","cils","equal"
"121","[0,0.348]",0.439393939393939,0.270081831087893,0.642298426756189,4.83333333333333,0.040815443689961,"1","trafo","cils","equal"
"122","(0.348,0.455]",0.433333333333333,0.262103398559056,0.64582071736972,4.33333333333333,0.100287510437743,"1","trafo","cils","equal"
"123","(0.455,0.728]",0.5,0.279275290730863,0.720762573040701,5,0.168740739294697,"1","trafo","cils","equal"
"124","(0.728,1]",0.65,0.363539772694392,0.84363088798683,6.5,0.609268672546915,"1","trafo","cils","equal"
"125","[0,0.287]",0.0606060606060606,0.0182105739698497,0.352777674929849,0.666666666666667,0.0355732928575831,"2","trafo","cils","equal"
"126","(0.287,0.351]",0.133333333333333,0.0405174193732757,0.451538713010192,1.33333333333333,0.0843092653628416,"2","trafo","cils","equal"
"127","(0.351,0.525]",0.0666666666666667,0.011544681620366,0.388576233060539,0.666666666666667,0.137744968956272,"2","trafo","cils","equal"
"128","(0.525,1]",0.55,0.234788043461135,0.834853592064458,5.5,0.589008996451013,"2","trafo","cils","equal"
"129","[0,0.376]",0.151515151515152,0.0328693681675183,0.467869359764022,1.66666666666667,0.0444400270363054,"3","trafo","cils","equal"
"130","(0.376,0.519]",0.233333333333333,0.0569057914212407,0.573613284722981,2.33333333333333,0.115789365870031,"3","trafo","cils","equal"
"131","(0.519,0.782]",0.183333333333333,0.0786073070939423,0.483565362744214,1.83333333333333,0.21223821305277,"3","trafo","cils","equal"
"132","(0.782,1]",0.466666666666667,0.182613803991967,0.770934197492971,4.66666666666667,0.640888874219045,"3","trafo","cils","equal"
"133","[0,0.368]",0.136363636363636,0.0231652597934168,0.455517506871966,1.5,0.0431395391743576,"4","trafo","cils","equal"
"134","(0.368,0.479]",0.15,0.0223658584736894,0.493783751422339,1.5,0.10167953728677,"4","trafo","cils","equal"
"135","(0.479,0.721]",0.35,0.121330350795648,0.671046911314052,3.5,0.170226198786497,"4","trafo","cils","equal"
"136","(0.721,1]",0.433333333333333,0.16149749429464,0.745739175043896,4.33333333333333,0.611686200674085,"4","trafo","cils","equal"
"137","[0,0.388]",0.106060606060606,0.0282468629986675,0.40691574270556,1.16666666666667,0.0460673623579333,"5","trafo","cils","equal"
"138","(0.388,0.54]",0.116666666666667,0.0313819615495936,0.437343867454683,1.16666666666667,0.11395212014414,"5","trafo","cils","equal"
"139","(0.54,0.687]",0.133333333333333,0.0479314671556297,0.444755272577143,1.33333333333333,0.178106351111717,"5","trafo","cils","equal"
"140","(0.687,1]",0.35,0.128254457597358,0.663773529900359,3.5,0.61022159332551,"5","trafo","cils","equal"
"141","[0,0.44]",0.0454545454545454,0.0100362890288178,0.339052220693866,0.5,0.0552547170999,"6","trafo","cils","equal"
